url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/23142441?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=973198239&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1704999452_nt46ke0ZQzuIH%2B5X&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Habitación en Eixample,Balcony for 2 @Plaza Cataluña w/priv.bathroom,"4,71 (214)",", ",Quédate con Juan Jose,Barcelona
/rooms/32207394?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999452_8czbUtwFBaXmU%2Fkx&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en Gràcia,TSA La Rosa |  Apartamento Luminoso 2 Hab,"4,62 (367)","155 € por noche, inicialmente 172 €",Anfitrión profesional,Barcelona
/rooms/916666677380821264?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1704999452_CunXf%2BpcR4BwDcwP&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en Eixample,Apartamento de lujo en el centro de la ciudad,"5,0 (18)","267 € por noche, inicialmente 393 €",Anfitrión profesional,Barcelona
/rooms/2306489?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1704999452_41S0a3DnRoeQFNDu&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en Eixample,"Fabuloso apartamento, centro de la ciudad:)","4,36 (289)","77 € por noche, inicialmente 107 €",Anfitrión particular,Barcelona
/rooms/4572269?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1704999452_ud%2FfkBKjW%2F1E2nF4&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en El Poblenou,Estupendo apartamento en Poblenou,"4,62 (543)","93 € por noche, inicialmente 152 €",Anfitrión particular,Barcelona
/rooms/2896610?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1704999452_rrWSCGJaywbI8k%2FJ&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en Eixample,Concepto vintage en un barrio chic,"4,86 (542)","143 € por noche, inicialmente 206 €",Anfitrión particular,Barcelona
/rooms/1150062?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-01&check_out=2024-02-06&source_impression_id=p3_1704999452_jvIJTQ1PsgYGpEQE&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en Gràcia,Nuevo Apto. con terraza comunitaria 2º 1ª,"4,82 (163)",123 € por noche,Anfitrión profesional,Barcelona
/rooms/2885126?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1704999452_Lvl2hBsXlPNNqnWs&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en Eixample,Central lado Ramblas A/C SAT WIFI,"4,59 (205)","116 € por noche, inicialmente 126 €",Anfitrión profesional,Barcelona
/rooms/359841?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-04&check_out=2024-02-09&source_impression_id=p3_1704999452_uxRfLnFMCuEXDaal&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Apartamento en El Poblenou,"BacRou,loft de diseño cerca del mar","4,69 (467)",117 € por noche,Anfitrión particular,Barcelona
/rooms/892001096306194505?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1652111996&check_in=2024-01-29&check_out=2024-02-03&source_impression_id=p3_1704999452_HeYKG55VqAd56UhV&previous_page_section_name=1000&federated_search_id=d1ecf496-8e3b-4a01-93d8-3849369dff54,Habitación en El Poblenou,Habitación en Barcelona,"4,8 (25)",", ",Quédate con Angel,Barcelona
