url,name,header,ciudad,precio_por_noche,rating,review,valor_ciudad,Anfitrion particular,Anfitrion profesional
/rooms/17759159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000518_aAIREJlSzJSzLVGI&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Valencia,Ático en la catedral con terraza sur,valencia,108,4.87,249,3,1,0
/rooms/17759159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000519_SnZQCsCqBbvdCC7z&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,Ático en la catedral con terraza sur,valencia,108,4.87,249,3,1,0
/rooms/12758773?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-17&check_out=2024-01-22&source_impression_id=p3_1705000519_hj4kwJOJKqjjSLS3&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,Apartamento “Mi rincón del Carmen”,valencia,72,4.57,518,3,1,0
/rooms/51764055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_KAQvVLlv%2FjeIRkZU&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Loft en Valencia,Loft en edificio restaurado del año 1900,valencia,90,4.91,93,3,1,0
/rooms/967348279593387907?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_dxGLUsmL9s%2FBiw5r&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,A 50 metros de la playa terraza con vistas al mar,valencia,111,4.86,22,3,1,0
/rooms/3426665?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-23&check_out=2024-01-30&source_impression_id=p3_1705000519_42p9%2FZtXYyxL4IuS&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,¡Terraza privada Marina Beach Flat!,valencia,93,4.71,309,3,1,0
/rooms/934651268792662069?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_ndryznQRR4lUJxJV&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,Apartamento junto a la playa de Valencia,valencia,100,4.57,21,3,1,0
/rooms/11277108?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-19&check_out=2024-02-24&source_impression_id=p3_1705000519_ramQsKMAWoaR2cJ8&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,"Blue house, beach. La casa Azul",valencia,86,4.89,346,3,0,1
/rooms/641112662678642957?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000519_Gf%2FOxrhCypxxsYk%2F&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Loft en Valencia,Precioso loft cerca de la playa,valencia,63,4.78,104,3,1,0
/rooms/14978738?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000519_8nzlgWTmHKaHjjZ6&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apto. residencial en Valencia,"APTO. CON ESTILO, UBICACIÓN PREMIUM, 600MB WIFI",valencia,112,4.84,179,3,1,0
/rooms/52559800?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-19&check_out=2024-01-24&source_impression_id=p3_1705000519_ed9BW877L6uxDYgG&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,Marina Loft,valencia,79,4.63,56,3,1,0
/rooms/13825094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000519_GOURX2%2FWzESTmPi7&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,"Apto. exclusivo 1ª línea playa, sin vistas al mar",valencia,121,4.76,327,3,0,1
/rooms/26620739?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-12&check_out=2024-02-17&source_impression_id=p3_1705000519_DL55hqqZOhxMB%2B2d&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,Apartamento Marítimo con Terraza,valencia,61,4.78,219,3,1,0
/rooms/17314627?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000519_2iX5bOim1%2BBoZQIe&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,El Balcón de las Atarazanas VT-43634-V,valencia,67,4.86,132,3,1,0
/rooms/16802558?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000519_US8bNQc6SBs9ZcgB&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Loft en Valencia,❤ LOFT7 junto RUZAFA & Ciudad Ciencias_SUPER COOL,valencia,48,4.69,302,3,1,0
/rooms/53970305?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_nZfqxxG2oyAqSaQl&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Vivienda vacacional en Valencia,Acogedor apartamento en el corazón de la ciudad,valencia,86,4.64,136,3,1,0
/rooms/28552814?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-17&check_out=2024-01-22&source_impression_id=p3_1705000521_rP6Vnlw3y7V4xyHC&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Elegante Apartamento en el Centro de Valencia,valencia,139,4.8,258,3,1,0
/rooms/609042535173332206?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000521_Lwnpd2KJnbmrKx%2BY&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Vivienda vacacional en Valencia,Piso cerca de la playa con balcón,valencia,91,4.71,84,3,0,1
