url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/17267431?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-26&check_out=2024-01-31&source_impression_id=p3_1705000412_zKtBXwViMMD75JNW&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Chamartín,Acogedor y luminoso apartamento ZONA BERNABEU,"4,65 (168)","89 € por noche, inicialmente 104 €",Anfitrión particular,Madrid
/rooms/34862268?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=758764518&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000412_ZEXnDPlyuKDG0GDK&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Habitación en Retiro,Habitación en el centro de Madrid.,"4,69 (383)",", ",Quédate con Adrián,Madrid
/rooms/41235338?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-11&check_out=2024-02-16&source_impression_id=p3_1705000412_WbyTmEA5mF9BbVJB&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Apartamento en Barajas,"Aeropuerto, Wanda ,Plastaunio, wifi, Ifema, Cun","4,82 (158)",84 € por noche,Anfitrión particular,Madrid
/rooms/32133730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000412_3bE9uIOtaS7QRqj7&previous_page_section_name=1000&federated_search_id=01588cf9-5758-4fb7-ae34-9f367919ca53,Loft en Retiro,"Loft Amplio,Independiente, WiFi, Zona Aparcamiento","4,69 (255)",67 € por noche,Anfitrión particular,Madrid
/rooms/869386524134209420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-10&check_out=2024-03-15&source_impression_id=p3_1705000413_Zty7mvJkaJz37fyV&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Apartamento en Madrid,Apartamento ideal en Madrid!,"4,91 (66)",65 € por noche,Anfitrión particular,Madrid
/rooms/53285427?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000413_5ZfprrC9Ktxcru%2Bi&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Apto. residencial en Madrid,Galaxy Flat in the Downtown,"4,77 (146)","87 € por noche, inicialmente 97 €",Anfitrión profesional,Madrid
/rooms/12903625?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-23&check_out=2024-01-28&source_impression_id=p3_1705000413_KdGGN2X0%2BgdVsShr&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Suite con entrada independiente en Madrid,Tranquilo y luminoso estudio en centro de Madrid.,"4,89 (229)",74 € por noche,Anfitrión particular,Madrid
/rooms/49036726?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1538003708&check_in=2024-01-13&check_out=2024-01-18&source_impression_id=p3_1705000413_Vumt6BPIyzEBVdcz&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,IFEMA-Airport . Aire Acondicio. Habitacion,"5,0 (69)",", ",Quédate con Ricardo,Madrid
/rooms/660120184966543768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000413_sdlGVVU3h%2FrcC2WH&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Apto. residencial en Madrid,Piso amueblado y luminoso en Chamartín,"4,86 (63)","103 € por noche, inicialmente 117 €",Anfitrión particular,Madrid
/rooms/39815062?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1106111142&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000413_ehaJmfYInpqzlG%2Bo&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,Habitación individual Alameda de Osuna (Madrid),"4,64 (317)",", ",Quédate con Juan Carlos,Madrid
/rooms/18165743?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1138560350&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000413_KHA3ezpHbmBEN6%2Fl&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,"Tu casa ideal para visitar Madrid, bedandbreakfast","4,94 (311)",", ",Quédate con Rosa,Madrid
/rooms/10993059?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-19&check_out=2024-01-24&source_impression_id=p3_1705000413_gYEATAwqJpQvg%2Fxr&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Apartamento en Madrid,Estudio completo: PEQUEÑA LUNA AZUL,"4,71 (282)",67 € por noche,Anfitrión particular,Madrid
/rooms/639812973988962894?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000413_KNXhfDOnOaW2gf3z&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Apartamento en Madrid,Princesa Vistas - Las mejores vistas de Madrid,"4,67 (18)","98 € por noche, inicialmente 127 €",Anfitrión profesional,Madrid
/rooms/806379186893904376?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000413_n5Y5X9olXAKUvpH6&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Apto. residencial en Madrid,Apartamento Independiente IFEMA - Aeropuerto,"4,96 (48)","112 € por noche, inicialmente 121 €",Anfitrión particular,Madrid
/rooms/1062317092250647961?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1814214684&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000413_ahjL8XhMQDxb1bY2&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,Terraza & Retiro - Sofá - Cama,Nuevo,", ",Quédate con Raquel,Madrid
/rooms/20707974?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=759585335&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000413_av04KZJbUXGBC%2B2v&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,Habitación a diez minutos del aeropuerto,"4,83 (558)",", ",Quédate con Carlos,Madrid
/rooms/826574723321947505?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000413_eCTAoyg8LzeXyb6z&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Apartamento en Madrid,"Apartamento en Madrid centro WIFI, A/C, calef","4,36 (28)",86 € por noche,Anfitrión profesional,Madrid
/rooms/737617463270389620?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1667215110&check_in=2024-02-22&check_out=2024-02-27&source_impression_id=p3_1705000413_02Z76%2Fjib0G%2FccA%2B&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,"Habitación 3,A 2 minutos andando del metro barajas","4,9 (59)",", ",Quédate con Juan,Madrid
/rooms/45712379?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1501319781&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000413_F8dkK%2BtnbQL6eNYd&previous_page_section_name=1000&federated_search_id=23aba6d6-bca5-42e5-9633-5cadb6d14f36,Habitación en Madrid,Tranquilo,"4,82 (55)",", ",Quédate con Irina,Madrid
