apartment_id,name,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,reviews_per_month,city,insert_date,bookable_False,bookable_True,mes,Estacion
363601,stylish flat in barcelona center,2,1,1,1,60,32,350,0,0,0,134,26,84,9,9,9,9,9,8,0.26,barcelona,2020-10-12,1,0,10,otoño
847195,New terrace apartment in the center,4,2,2,3,90,3,1125,2,14,22,297,35,85,9,9,8,9,9,9,0.65,barcelona,2017-07-06,1,0,7,verano
27101716,"LOFT COZY AND CHIC, NEAR METRO, FREE WIFI :)",3,1,0,2,49,2,1125,21,47,75,336,17,89,10,9,10,10,8,9,3.95,madrid,2019-01-14,0,1,1,invierno
26794038,H. ROOM  in downtown Madrid.,1,2,1,1,20,1,16,22,49,79,79,31,75,9,8,10,9,10,8,4.12,madrid,2019-03-08,0,1,3,invierno
5792851,"Cool Character and Foodie Location, near FIRA MWC",4,1,2,2,80,4,1124,10,19,32,205,148,94,10,10,10,10,10,9,3.03,barcelona,2019-04-10,0,1,4,primavera
8755195,BEAUTIFUL AND VERY CENTRAL . VERONICA,5,1,1,3,80,3,30,3,20,36,179,53,92,10,9,10,10,9,9,1.48,madrid,2018-10-10,0,1,10,otoño
27766690,Private room · Amazing Cozy Room · Sants Montjuic,2,1,1,1,35,2,1125,30,60,90,365,2,80,9,9,9,8,9,8,0.08,barcelona,2020-08-24,1,0,8,verano
18246902,Luminosa Habitación Individual en Madrid Centro,1,1,1,1,21,2,1125,9,13,13,253,21,99,10,10,10,10,10,10,1.84,madrid,2018-05-14,1,0,5,primavera
19764608,LUXURY APARTMENT RIGHT NEXT TO THE SAGRADA FAMILIA,4,2,2,2,198,3,1125,26,27,27,107,7,100,10,10,10,10,10,10,2.14,barcelona,2017-11-13,1,0,11,otoño
34706476,Habitación tranquila cerca de Aeropuerto e Ifema,1,1,1,1,20,1,4,0,0,0,0,2,100,10,10,10,10,10,10,0.14,madrid,2020-07-17,0,1,7,verano
23001940,MODERN AND STYLISH APARTMENT IN POBLE SEC,4,1,1,1,105,2,1125,27,51,63,159,113,99,10,10,10,10,10,9,4.54,barcelona,2020-04-16,1,0,4,primavera
759035,Double room city view,2,2,1,1,78,2,5,27,57,87,362,13,86,9,9,9,9,10,9,0.21,barcelona,2017-11-13,1,0,11,otoño
13277929,Habitación doble luminosa en La Sagrera.,2,2,1,1,27,1,15,0,0,0,0,4,90,9,9,10,10,9,10,0.29,barcelona,2017-08-06,1,0,8,verano
