nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
Amazing  Views to Sagrada Familia and the sea !!!,75,16,98,barcelona,197152,100
APARTAMENTO EN MADRID CENTRO EN PUERTA DEL SOL,69,6,100,madrid,152465,90
Cosy room in City Centre,35,2,80,barcelona,197152,100
Great apartment in Born,45,5,96,barcelona,197152,100
HVA H Augusta Garden,90,9,91,barcelona,197152,100
Madrid River Side Apartment AC-Wifi,66,194,95,madrid,152465,90
"Double room , with private bathroom",65,52,93,barcelona,197152,100
Pequeña pero acogedora habitación,30,35,91,barcelona,197152,100
Nice double room in flat overlooking Montjuic,77,7,94,barcelona,197152,100
Habitación de lujo con baño privado en el centro,58,7,100,madrid,152465,90
ATICO-MADRID CENTRO /TODOS LOS MUSEOS,46,5,96,madrid,152465,90
