nombre,precio_por_noche,review,rating,ciudad,Precio_casa,numero_noches
New Bright & Cosy 2bd Furnished Flat - ALQ 9,45,6,93,barcelona,197152,100
Home Club Marques del Duero I,77,13,94,madrid,152465,90
Great room (#2) 1 minute far from Arc de Triomf,40,59,92,barcelona,197152,100
Amazing flat in the very center,110,6,97,barcelona,197152,100
Relaxing-blue design double room,60,111,96,barcelona,197152,100
Sunny apartment in old town,120,7,93,barcelona,197152,100
"Moderno Apto. en Calle Fuencarral, Gran Vía",79,62,95,madrid,152465,90
Habitacion de alquiler,14,8,100,valencia,196697,45
Grande II apartment on Valencia St.,119,94,90,barcelona,197152,100
Palacio Real Suite - MadFlats Collection,75,18,100,madrid,152465,90
Parc Güell- Unbeatable views and great location,95,9,100,barcelona,197152,100
Atocha III,65,2,80,madrid,152465,90
Habitación con dos camas en el centro de Madrid,30,20,99,madrid,152465,90
Habitación luminosa en Nou Barris,15,2,100,barcelona,197152,100
Banyoles,89,1,100,barcelona,197152,100
Apartamento Torregrosa,50,66,95,madrid,152465,90
COZY APT in the DISTINCTIVE district of  LasLetras,49,52,95,madrid,152465,90
Large room for 2 people in the center  Barcelona,60,29,86,barcelona,197152,100
Double Bed in a cozy flat,27,48,98,valencia,196697,45
El Mundo en Barcelona,21,4,93,barcelona,197152,100
NUEVO ideal FAMILIAS! Entre playa&centro!,100,26,95,valencia,196697,45
Chueca Town II,80,13,94,madrid,152465,90
Apartamento en el centro,150,8,80,madrid,152465,90
Habitacion matrimonial en apartamento en las rosas,70,1,100,madrid,152465,90
MALASAÑA Apartment II (2BR 2BT),75,260,88,madrid,152465,90
Penthouse with Terrace 8 pax Madrid Art District,160,10,86,madrid,152465,90
COZY & MODERN LOFT WITH GYM,80,3,100,barcelona,197152,100
GRAN VIA NEW APPARTMENT,55,32,81,madrid,152465,90
"Modern stylish, Paseo de Gracia",180,42,97,barcelona,197152,100
Tania Home - Huertas,69,50,91,madrid,152465,90
"Nuevo apartamento moderno y chic en verdi, Gracia",77,1,80,barcelona,197152,100
Apartment in Paseo de Gracia,140,43,90,barcelona,197152,100
Apartamento para 9 personas,500,5,88,barcelona,197152,100
Chic&Calm in Modernist Center,185,282,98,barcelona,197152,100
MADRD 1,35,74,89,madrid,152465,90
Fantástico Apartamento de 3 Habitaciones,35,24,93,valencia,196697,45
Privacidad en un solo ambiente.,35,33,92,madrid,152465,90
Beautiful spacious 4 BDR with balcony,98,102,89,barcelona,197152,100
Bright single  room Near to Sagrada Familia,30,1,60,barcelona,197152,100
Precioso y confortable apartamento,200,4,100,barcelona,197152,100
I L❤️VE  MADRID  LOFT URBAN,85,54,94,madrid,152465,90
Cathedral Rooms Exclusive Area C5,33,41,74,barcelona,197152,100
Precioso apartamento Bombonera 200,55,33,92,barcelona,197152,100
Wonderful apartment for 5 people in Gracia,53,133,94,barcelona,197152,100
325sqm modernist flat in Eixample,394,12,94,barcelona,197152,100
"Original y moderno apartamento en Chamberí, Madrid",207,1,100,madrid,152465,90
Near the city center and the beach,30,9,93,barcelona,197152,100
Furnished studio,500,15,82,barcelona,197152,100
Habitación doble en Vila de Gracia,40,21,95,barcelona,197152,100
Comfortable room in center of BCN!,28,101,90,barcelona,197152,100
Serene and beautiful flat in city centre,52,26,95,madrid,152465,90
Fancy at the downtown's heart -SUPER LAUNCH OFFER,25,3,100,barcelona,197152,100
Moderno apartamento en el Madrid de los Austrias,147,21,98,madrid,152465,90
Quiet Queen Room in superbly located area,33,37,93,barcelona,197152,100
Beautiful and Cozy (2H + 1B) Retiro Park.,80,6,100,madrid,152465,90
Luxury & Design at Rambla!,129,222,93,barcelona,197152,100
Apartamento Valencia excelente ubicación  AT45924V,94,8,88,valencia,196697,45
Bright apartment close to metro Marítim-Serrería,55,61,94,valencia,196697,45
LUJO Y COMODIDAD EN EL CENTRO DE MADRID,100,5,92,madrid,152465,90
SOL (CITY CENTER) -2BD 2BTH refurbished apartment,90,4,95,madrid,152465,90
Comfortable Room,25,75,97,barcelona,197152,100
Charming penthouse  Santa Ana,99,34,97,madrid,152465,90
PLAZA MAYOR EXQUISITE 3bdr 2bth,91,14,91,madrid,152465,90
Beautiful Barrio Gotico Old Town Apartment,60,13,89,barcelona,197152,100
BIG PROPERTY NEXT TO THE CASTELLANA -3ROOMS/8PAX,100,75,93,madrid,152465,90
2 mints Sagrada Familia Single Room and Toilet,32,14,93,barcelona,197152,100
Piso 2 dormitorios en corazón barrio Salamanca,165,2,100,madrid,152465,90
《《 BARCELONA 》》 Center BIG room ***** Luxe,27,7,97,barcelona,197152,100
"Room CENTER Atocha Renfe, new, Wifi and balcony",25,92,94,madrid,152465,90
Deluxe Penthouse Atocha Suites I,180,4,100,madrid,152465,90
"Double, sunny room & beautiful view",30,29,95,barcelona,197152,100
House with garden,398,20,94,barcelona,197152,100
A - PRIVATE ROOM CHUECA,19,229,90,madrid,152465,90
Habitación privada en Chamberí 3,32,13,95,madrid,152465,90
Apartamento cerca de playa y Ciudad las Ciencias,38,24,92,valencia,196697,45
Sunny 6 person Apt Historic District - Sol,150,43,96,madrid,152465,90
"Old town 1, 6minutesfrom Ramblas",280,9,89,barcelona,197152,100
City center. Room at 10 min Pl. Catalunya. B&B,45,38,92,barcelona,197152,100
Cozy apt 2 Rms & 3 balconies/Sagrada Familia,99,33,86,barcelona,197152,100
Private room near Montjuic&Sants Station.,50,29,99,barcelona,197152,100
"Barcelona center, Double sunny room",38,108,98,barcelona,197152,100
Chueca Hortaleza· Luxury Apartment-6 pax -2Bd-2Bth,120,41,91,madrid,152465,90
DUPLEX TERRACE 203 HUTB009708,165,1,80,barcelona,197152,100
"Special offer Rooftop Penthouse, 2BD 1 Bth Ático",75,20,95,madrid,152465,90
¡Habitación en Plaza España!,40,8,80,madrid,152465,90
City Center - Private Room,20,38,99,barcelona,197152,100
Cozy room in  the center of Madrid.,35,27,96,madrid,152465,90
"Cozy & Sunny Apartment, with 1 Double Room",42,103,95,barcelona,197152,100
FOUR PEOPLE  ROOM & CITY CENTER,99,33,92,barcelona,197152,100
CENTRO SOL GRAN VIA CALLAO MALASAÑA  A,59,23,94,madrid,152465,90
Double room + Private Bathroom / Sagrada Familia,40,33,96,barcelona,197152,100
New and Modern Apartment in Gran Vía!,47,74,94,madrid,152465,90
WONDERLANDs garden flat next to SOL,49,247,84,madrid,152465,90
Amazing loft with terrace. Full center of Valencia,150,22,96,valencia,196697,45
Cool Chill Out Terrace (Centre),54,91,87,madrid,152465,90
Lugaris Beach Family Apartment,77,59,94,barcelona,197152,100
DoubleBed Sunny Private Room Great Location,34,47,88,barcelona,197152,100
"Madrid Center: Puerta del Sol, Tirso de Molina",34,174,91,madrid,152465,90
Comfortable and Renovated Flat in Madrid Center,70,55,94,madrid,152465,90
Balcón room for 2 persons in shared apt,52,9,80,barcelona,197152,100
Céntrico apartamento,130,53,92,valencia,196697,45
OPERA y PALACIO REAL. En pleno CENTRO. NUEVO!,99,41,97,madrid,152465,90
Arturo Soria - Bright & Stunning Penthouse,132,5,96,madrid,152465,90
Apartment nice and clean,130,32,98,barcelona,197152,100
Eixample Dret Indústria 1 Sardenya,111,1,100,barcelona,197152,100
CENTRIC LUXURY APARTMENT,68,6,100,madrid,152465,90
PenthouseSuite with Private Terrace,75,165,93,barcelona,197152,100
Parc Güell Apartment,60,11,88,barcelona,197152,100
Loft Playa-Puerto,26,42,93,valencia,196697,45
Double Bedroom front of Ramblas,45,42,85,barcelona,197152,100
Habitación cerca del metro,22,31,82,barcelona,197152,100
Bonito apartamento en el centro de Madrid,80,20,98,madrid,152465,90
Cozy double room Gótic Quarter,40,4,95,barcelona,197152,100
Habitacion grande céntrica cerca de la playa,53,65,96,barcelona,197152,100
Excelente dormitorio cerca del PARQ GUELL.........,20,4,75,barcelona,197152,100
Beautiful Cheap Double NEAR BEACH!!,80,1,100,barcelona,197152,100
WIDE ROOMS WITH CHARM,55,5,84,barcelona,197152,100
Piso nuevo luminoso/bright new flat,65,9,98,madrid,152465,90
Central and Moderniste in the best Barcelona,50,39,96,barcelona,197152,100
Modern and elegant apartment in Barcelona,55,3,100,barcelona,197152,100
Center! Nice room in the art quarter of the center,17,6,97,madrid,152465,90
Amazing apartment in Chueca,50,8,100,madrid,152465,90
Casa típica cerca de la playa con Wifi VT-41537-V,47,54,93,valencia,196697,45
Habitación individual muy nueva y limpia.14,32,5,92,madrid,152465,90
Habitación matrimonial exterior 2,31,58,97,madrid,152465,90
Monthly room(near plaza catalunya),35,1,60,barcelona,197152,100
Habitación doble en bonito apartamento,25,2,90,barcelona,197152,100
Affordable Flat in Poblenou,62,147,94,barcelona,197152,100
"Patio home, Gracia",17,65,94,barcelona,197152,100
Cozy studio in Sants,75,1,100,barcelona,197152,100
Nice apartment close to the beach,95,178,90,barcelona,197152,100
Precioso APART RÍO. MADRID RIO Aparcamiento libre,57,45,100,madrid,152465,90
Big Room in Gracia close to center,17,3,53,barcelona,197152,100
Charming & very cosy Atico w/Wifi,119,270,93,barcelona,197152,100
LUXURIOUS BEACH AND CITY VILA OLIMPICA,400,5,96,barcelona,197152,100
Sagrada familia a10 minutos a la playa 25 y centro,44,23,87,barcelona,197152,100
New flat 2 BR in Oporto ( 12 min to Gran Vía),60,76,92,madrid,152465,90
Benet Mercadé central / free Wifi  newly renovated,65,1,60,barcelona,197152,100
Double Bed In Shared Flat,27,1,60,madrid,152465,90
Private Studio Steps From Subway Station in BCN Center,63,63,96,barcelona,197152,100
"Ruzafa Apartment, Valencia Center",92,47,89,valencia,196697,45
Multipurpose Space Loft Type,78,60,93,madrid,152465,90
Single bedroom-apartment in the middle of Barcelon,27,1,100,barcelona,197152,100
Hermosa Habitacion privada- Plaza Mayor,42,1,100,madrid,152465,90
Nere Loft Port .WIFI,50,77,95,valencia,196697,45
Born 1-1 rustic style Central apt,90,58,82,barcelona,197152,100
"Des Artistes 716, wifi, central P",77,16,81,barcelona,197152,100
Apartment in Barcelona,70,1,80,barcelona,197152,100
2724 - AB Gracia 5 bedroom apartment with Terrace - Incredible five-bedroom apartment with private terrace in quirky Gràcia neighbourhood,420,15,80,barcelona,197152,100
