url,name,header,rating_n_reviews,price,superhost,ciudad
/rooms/830460719034069544?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000518_AGebYSBxktmtG3jb&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Loft en València,Nuevo.Loft_FREE. Estacionamiento,"4,9 (52)",88 € por noche,Anfitrión particular,Valencia
/rooms/925930708044688510?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000518_LUkAuBseAe%2BexEH%2B&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en Port Saplaya,Piso de 3 dormitorios frente a la playa,"4,88 (26)","113 € por noche, inicialmente 136 €",Anfitrión particular,Valencia
/rooms/17759159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000518_aAIREJlSzJSzLVGI&previous_page_section_name=1000&federated_search_id=154bdb70-0953-4dfd-9942-7eec23d5fcbf,Apartamento en València,Ático en la catedral con terraza sur,"4,87 (249)",108 € por noche,Anfitrión particular,Valencia
/rooms/17759159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-05&check_out=2024-02-10&source_impression_id=p3_1705000519_SnZQCsCqBbvdCC7z&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,Ático en la catedral con terraza sur,"4,87 (249)",108 € por noche,Anfitrión particular,Valencia
/rooms/12758773?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-17&check_out=2024-01-22&source_impression_id=p3_1705000519_hj4kwJOJKqjjSLS3&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,Apartamento “Mi rincón del Carmen”,"4,57 (518)",72 € por noche,Anfitrión particular,Valencia
/rooms/51764055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_KAQvVLlv%2FjeIRkZU&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Loft en València,Loft en edificio restaurado del año 1900,"4,91 (93)","90 € por noche, inicialmente 112 €",Anfitrión particular,Valencia
/rooms/967348279593387907?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_dxGLUsmL9s%2FBiw5r&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,A 50 metros de la playa terraza con vistas al mar,"4,86 (22)","111 € por noche, inicialmente 141 €",Anfitrión particular,Valencia
/rooms/3426665?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-23&check_out=2024-01-30&source_impression_id=p3_1705000519_42p9%2FZtXYyxL4IuS&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,¡Terraza privada Marina Beach Flat!,"4,71 (309)","93 € por noche, inicialmente 113 €",Anfitrión particular,Valencia
/rooms/934651268792662069?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_ndryznQRR4lUJxJV&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,Apartamento junto a la playa de Valencia,"4,57 (21)","100 € por noche, inicialmente 110 €",Anfitrión particular,Valencia
/rooms/11277108?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-19&check_out=2024-02-24&source_impression_id=p3_1705000519_ramQsKMAWoaR2cJ8&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,"Blue house, beach. La casa Azul","4,89 (346)","86 € por noche, inicialmente 97 €",Anfitrión profesional,Valencia
/rooms/641112662678642957?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000519_Gf%2FOxrhCypxxsYk%2F&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Loft en València,Precioso loft cerca de la playa,"4,78 (104)",63 € por noche,Anfitrión particular,Valencia
/rooms/14978738?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000519_8nzlgWTmHKaHjjZ6&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apto. residencial en València,"APTO. CON ESTILO, UBICACIÓN PREMIUM, 600MB WIFI","4,84 (179)","112 € por noche, inicialmente 147 €",Anfitrión particular,Valencia
/rooms/52559800?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-19&check_out=2024-01-24&source_impression_id=p3_1705000519_ed9BW877L6uxDYgG&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en Valencia,Marina Loft,"4,63 (56)",79 € por noche,Anfitrión particular,Valencia
/rooms/13825094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000519_GOURX2%2FWzESTmPi7&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,"Apto. exclusivo 1ª línea playa, sin vistas al mar","4,76 (327)",121 € por noche,Anfitrión profesional,Valencia
/rooms/26620739?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-02-12&check_out=2024-02-17&source_impression_id=p3_1705000519_DL55hqqZOhxMB%2B2d&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,Apartamento Marítimo con Terraza,"4,78 (219)","61 € por noche, inicialmente 69 €",Anfitrión particular,Valencia
/rooms/17314627?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000519_2iX5bOim1%2BBoZQIe&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,El Balcón de las Atarazanas VT-43634-V,"4,86 (132)","67 € por noche, inicialmente 77 €",Anfitrión particular,Valencia
/rooms/17589265?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=280584804&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000519_cLpj7bBZ9oOiHtn%2F&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Habitación en València,Habitación en casa Rústica del Corazón de Valencia,"4,66 (362)",", ",Quédate con Andreu,Valencia
/rooms/16802558?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-28&check_out=2024-02-02&source_impression_id=p3_1705000519_US8bNQc6SBs9ZcgB&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Loft en València,❤ LOFT7 junto RUZAFA & Ciudad Ciencias_SUPER COOL,"4,69 (302)","48 € por noche, inicialmente 69 €",Anfitrión particular,Valencia
/rooms/1062643405383443055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-20&check_out=2024-01-25&source_impression_id=p3_1705000519_m5hGoFexsagsmg3Q&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,Suite mediterránea,Nuevo,"87 € por noche, inicialmente 103 €",Anfitrión profesional,Valencia
/rooms/53970305?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000519_nZfqxxG2oyAqSaQl&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Vivienda vacacional en València,Acogedor apartamento en el corazón de la ciudad,"4,64 (136)","86 € por noche, inicialmente 117 €",Anfitrión particular,Valencia
/rooms/1040756688665939803?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000519_p3MRLqNeMs53XbHo&previous_page_section_name=1000&federated_search_id=7025c400-9748-43d2-96dc-701167e30f21,Apartamento en València,Loft privado,Nuevo,47 € por noche,Anfitrión particular,Valencia
/rooms/28552814?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-17&check_out=2024-01-22&source_impression_id=p3_1705000521_rP6Vnlw3y7V4xyHC&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,Elegante Apartamento en el Centro de Valencia,"4,8 (258)","139 € por noche, inicialmente 167 €",Anfitrión particular,Valencia
/rooms/51114655?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1227299494&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000521_%2F%2FD1KVyZu1NXMdzW&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Habitación en València,Habitación Doble en pleno centro de la ciudad,"4,23 (250)",", ",Quédate con Jose,Valencia
/rooms/609042535173332206?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000521_Lwnpd2KJnbmrKx%2BY&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Vivienda vacacional en València,Piso cerca de la playa con balcón,"4,71 (84)","91 € por noche, inicialmente 107 €",Anfitrión profesional,Valencia
/rooms/954920151993352349?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-15&check_out=2024-01-20&source_impression_id=p3_1705000521_lQLk5Bso%2FYScJyDL&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,Apartamento amplio y tranquilo,"4,63 (24)","56 € por noche, inicialmente 65 €",Anfitrión particular,Valencia
/rooms/12619448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-27&check_out=2024-02-01&source_impression_id=p3_1705000521_QTGUIb5Pg%2Bj9ws6%2F&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,Increíble suite de vidrio de lujo. Superhost,"4,92 (287)","114 € por noche, inicialmente 124 €",Anfitrión particular,Valencia
/rooms/47492685?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000521_Boh36NKycVMJB3lb&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Sentirse como en casa en el centro de la ciudad,"4,97 (174)",134 € por noche,Anfitrión particular,Valencia
/rooms/36379562?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000521_aHavPaGxnX8P6OcT&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Alboraia,ELEGANTE APARTAMENTO DE PLAYA EN APARTAMENTO PRÉMIUM CON PISCINA,"4,75 (92)","77 € por noche, inicialmente 112 €",Anfitrión profesional,Valencia
/rooms/42166423?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-12&check_out=2024-01-17&source_impression_id=p3_1705000521_QMeN8z69YhpTiqDY&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en Valencia,Impresionante y bonito apartamento en el puerto de Valencia,"4,97 (64)","190 € por noche, inicialmente 207 €",Anfitrión particular,Valencia
/rooms/22429742?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000521_8VcVIJjxMzfbwm5Z&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,"Acogedor apartamento en el Carmen, centro Valencia","4,82 (271)","69 € por noche, inicialmente 79 €",Anfitrión particular,Valencia
/rooms/32394789?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-18&check_out=2024-01-23&source_impression_id=p3_1705000521_ow1Z%2BL0v00%2F3tBgK&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,Cabañal Beach Apartment 1,"4,92 (217)",113 € por noche,Anfitrión particular,Valencia
/rooms/814568742145339560?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-24&check_out=2024-01-29&source_impression_id=p3_1705000521_%2BkcIc7O98Qr3VIlI&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,"Apartamento loft en la playa, terraza privada","4,88 (41)",85 € por noche,Anfitrión particular,Valencia
/rooms/30676203?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=979898956&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000521_sadIv2PajMh0pNsC&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,"Habitación en Mislata, Valéncia",HABITACIÓN PRIVADA Valencia,"4,66 (207)",", ",Quédate con Hilda,Valencia
/rooms/841451498938646545?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000521_Oad4dnN2dXpXmlok&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,Parc Central loft. Ruzafa.,"4,95 (44)","81 € por noche, inicialmente 128 €",Anfitrión profesional,Valencia
/rooms/895548813983540640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-18&check_out=2024-01-23&source_impression_id=p3_1705000521_PgzTpLttYEekigSw&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Vivienda en València,Casa acogedora típica valenciana,"4,8 (40)","80 € por noche, inicialmente 96 €",Anfitrión particular,Valencia
/rooms/18624094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000521_hTi5HuT0DRuyFB2A&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,DÚPLEX DE LUJO EN EL CASCO ANTIGUO CON APARCAMIENTO GRATUITO,"4,9 (348)",155 € por noche,Anfitrión profesional,Valencia
/rooms/45683832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-20&check_out=2024-05-25&source_impression_id=p3_1705000521_Op%2FpxHhINc%2BkTfEL&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,Acogedor Loft en Ciutal vella de Valencia,"4,86 (101)",77 € por noche,Anfitrión particular,Valencia
/rooms/17301063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000521_pCViUxjGkgeCG1AJ&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,Moderno apartamento en el parque de cabecera!!,"4,82 (418)",67 € por noche,Anfitrión particular,Valencia
/rooms/34038526?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000521_PePeI6NGEx9s8g1E&previous_page_section_name=1000&federated_search_id=ba8e6011-b9b1-49b3-946e-0511c0deac66,Apartamento en València,LOFT ELEGANTE EN PLAZA DEL CARMEN,"4,47 (238)","78 € por noche, inicialmente 90 €",Anfitrión profesional,Valencia
/rooms/1034761182565960830?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-03-31&check_out=2024-04-05&source_impression_id=p3_1705000523_vYGt3kH6MOVJwD%2FC&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,Apartamento Entero Valencia Ciudad Cerca Centro,Nuevo,95 € por noche,Anfitrión particular,Valencia
/rooms/841451498938646545?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000523_tn7aBkF8734xk%2B8x&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,Parc Central loft. Ruzafa.,"4,95 (44)","81 € por noche, inicialmente 128 €",Anfitrión profesional,Valencia
/rooms/895548813983540640?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-18&check_out=2024-01-23&source_impression_id=p3_1705000523_F8EmW29gGaJ2K0%2Bs&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Vivienda en València,Casa acogedora típica valenciana,"4,8 (40)","80 € por noche, inicialmente 96 €",Anfitrión particular,Valencia
/rooms/18624094?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000523_4dq2cw%2FAUJpjWFL9&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,DÚPLEX DE LUJO EN EL CASCO ANTIGUO CON APARCAMIENTO GRATUITO,"4,9 (348)",155 € por noche,Anfitrión profesional,Valencia
/rooms/45683832?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-05-20&check_out=2024-05-25&source_impression_id=p3_1705000523_zhCuRA8Dubh59chp&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,Acogedor Loft en Ciutal vella de Valencia,"4,86 (101)",77 € por noche,Anfitrión particular,Valencia
/rooms/17301063?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-21&check_out=2024-01-26&source_impression_id=p3_1705000523_pFPOoz5v6Dn2OICz&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,Moderno apartamento en el parque de cabecera!!,"4,82 (418)",67 € por noche,Anfitrión particular,Valencia
/rooms/34038526?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-14&check_out=2024-01-19&source_impression_id=p3_1705000523_gPmlVFd2AkoQ7GRv&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,LOFT ELEGANTE EN PLAZA DEL CARMEN,"4,47 (238)","78 € por noche, inicialmente 90 €",Anfitrión profesional,Valencia
/rooms/22407628?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-22&check_out=2024-01-27&source_impression_id=p3_1705000523_87qCsLGHKQnxy0z%2B&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,Apartamento soleado en el corazón de Valencia,"4,81 (221)","127 € por noche, inicialmente 157 €",Anfitrión particular,Valencia
/rooms/1065260594291457886?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-07-08&check_out=2024-07-15&source_impression_id=p3_1705000523_U9eVTbMpG%2FFzne7K&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,Apartamento espacioso y LUMINOSO cerca de la playa,Nuevo,"295 € por noche, inicialmente 355 €",Anfitrión particular,Valencia
/rooms/33680681?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-20&check_out=2024-01-26&source_impression_id=p3_1705000523_FsxYFa%2Fz10b5Xeki&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apto. residencial en Alboraia,BONITO APARTAMENTO  PRIMERA LINEA PLAYA PATACONA,"4,97 (37)","94 € por noche, inicialmente 117 €",Anfitrión particular,Valencia
/rooms/51013468?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000523_dDa53iGDw4MbMXXX&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apto. residencial en Port Sa Platja,Precioso apartamento en la Pequeña Venecia,"4,87 (71)",112 € por noche,Anfitrión particular,Valencia
/rooms/1020413930201417906?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-11&check_out=2024-01-16&source_impression_id=p3_1705000523_GHY6r0bmVi%2F%2B7HXW&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Apartamento en València,Increíble loft y jacuzzi,Nuevo,211 € por noche,Anfitrión profesional,Valencia
/rooms/37928764?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2024-01-24&check_out=2024-01-29&source_impression_id=p3_1705000523_4gIKw9MPvSc7aCA8&previous_page_section_name=1000&federated_search_id=e6c6f086-d4a6-4cd6-839b-b66a2b056922,Loft en Valencia,Loft Apartamento duplex Valencia - parking Gratis,"4,91 (496)",99 € por noche,Anfitrión particular,Valencia
